student,course,activity,room,day,time
Rhona Bakkum,Moderne Databases,p1,A1.04,vr,11
Wafa Bart,Analysemethoden en -technieken,h1,A1.10,wo,15
Wafa Bart,Collectieve Intelligentie,h1,B0.201,do,13
Wafa Bart,Collectieve Intelligentie,h2,C1.112,do,15
Wafa Bart,Collectieve Intelligentie,h3,C0.110,vr,11
Wafa Bart,Collectieve Intelligentie,w1,A1.06,di,13
Wafa Bart,Collectieve Intelligentie,p1,C1.112,vr,13
Wafa Bart,Databases 2,h1,C0.110,ma,15
Wafa Bart,Databases 2,w1,A1.10,di,15
Wafa Bart,Kansrekenen 2,h1,A1.08,do,11
Wafa Bart,Kansrekenen 2,h2,A1.04,vr,15
Sharan Baselmans,Collectieve Intelligentie,h1,B0.201,do,13
Sharan Baselmans,Collectieve Intelligentie,h2,C1.112,do,15
Sharan Baselmans,Collectieve Intelligentie,h3,C0.110,vr,11
Sharan Baselmans,Collectieve Intelligentie,w1,C0.110,vr,9
Sharan Baselmans,Collectieve Intelligentie,p1,C1.112,vr,13
Sharan Baselmans,Compilerbouw,h1,A1.06,wo,13
Sharan Baselmans,Compilerbouw,h2,A1.08,wo,11
Sharan Baselmans,Compilerbouw,w1,B0.201,di,13
Sharan Baselmans,Compilerbouw,p1,A1.06,vr,13
Sharan Baselmans,Lineaire Algebra,h2,C1.112,di,9
Sharan Baselmans,Lineaire Algebra,h1,B0.201,do,15
Sharan Baselmans,Project Numerical Recipes,p1,A1.10,ma,15
Edin Bastings,Algoritmen en complexiteit,h1,A1.10,vr,9
Edin Bastings,Algoritmen en complexiteit,w1,C1.112,do,9
Edin Bastings,Algoritmen en complexiteit,p1,A1.08,do,13
Edin Bastings,Architectuur en computerorganisatie,h1,A1.06,wo,15
Edin Bastings,Architectuur en computerorganisatie,h2,A1.06,do,9
Edin Bastings,Collectieve Intelligentie,h1,B0.201,do,13
Edin Bastings,Collectieve Intelligentie,h2,C1.112,do,15
Edin Bastings,Collectieve Intelligentie,h3,C0.110,vr,11
Edin Bastings,Collectieve Intelligentie,w1,A1.06,di,13
Edin Bastings,Collectieve Intelligentie,p1,A1.08,do,15
Edin Bastings,Databases 2,h1,C0.110,ma,15
Edin Bastings,Databases 2,w1,A1.10,di,11
Edin Bastings,Netwerken en systeembeveiliging,p1,A1.04,ma,15
Mattijs Baudoin,Algoritmen en complexiteit,h1,A1.10,vr,9
Mattijs Baudoin,Algoritmen en complexiteit,w1,C1.112,do,9
Mattijs Baudoin,Algoritmen en complexiteit,p1,A1.06,wo,9
Mattijs Baudoin,Compilerbouw,h1,A1.06,wo,13
Mattijs Baudoin,Compilerbouw,h2,A1.08,wo,11
Mattijs Baudoin,Compilerbouw,w1,A1.06,di,15
Mattijs Baudoin,Compilerbouw,p1,A1.06,vr,13
Mattijs Baudoin,Interactie-ontwerp,h1,A1.04,di,13
Mattijs Baudoin,Interactie-ontwerp,h2,A1.10,ma,11
Mattijs Baudoin,Lineaire Algebra,h2,C1.112,di,9
Mattijs Baudoin,Lineaire Algebra,h1,B0.201,do,15
Mattijs Baudoin,Netwerken en systeembeveiliging,p1,A1.04,vr,13
Ravi Bauer,Calculus 2,h1,C0.110,do,13
Ravi Bauer,Calculus 2,w1,C1.112,wo,13
Ravi Bauer,Collectieve Intelligentie,h1,B0.201,do,13
Ravi Bauer,Collectieve Intelligentie,h2,C1.112,do,15
Ravi Bauer,Collectieve Intelligentie,h3,C0.110,vr,11
Ravi Bauer,Collectieve Intelligentie,w1,C0.110,vr,9
Ravi Bauer,Collectieve Intelligentie,p1,C1.112,di,11
Ravi Bauer,Netwerken en systeembeveiliging,p1,A1.04,vr,13
Wiert Becht,Project Numerical Recipes,p1,C0.110,do,15
Kyllian Bekkema,Advanced Heuristics,h1,C0.110,do,11
Kyllian Bekkema,Advanced Heuristics,p1,A1.10,wo,9
Kyllian Bekkema,Netwerken en systeembeveiliging,p1,B0.201,wo,11
Kyllian Bekkema,Reflectie op de digitale cultuur,h1,A1.08,di,13
Kyllian Bekkema,Reflectie op de digitale cultuur,h2,C0.110,di,11
Kyllian Bekkema,Reflectie op de digitale cultuur,w1,A1.04,vr,9
Marrie Bekker,Calculus 2,h1,C0.110,do,13
Marrie Bekker,Calculus 2,w1,C0.110,vr,15
Marrie Bekker,Collectieve Intelligentie,h1,B0.201,do,13
Marrie Bekker,Collectieve Intelligentie,h2,C1.112,do,15
Marrie Bekker,Collectieve Intelligentie,h3,C0.110,vr,11
Marrie Bekker,Collectieve Intelligentie,w1,A1.06,di,13
Marrie Bekker,Collectieve Intelligentie,p1,C0.110,wo,17
Marrie Bekker,Netwerken en systeembeveiliging,p1,C0.110,vr,13
Marrie Bekker,Zoeken sturen en bewegen,p1,B0.201,di,15
Angle Berentsen,Advanced Heuristics,h1,C0.110,do,11
Angle Berentsen,Advanced Heuristics,p1,A1.10,wo,9
Angle Berentsen,Algoritmen en complexiteit,h1,A1.10,vr,9
Angle Berentsen,Algoritmen en complexiteit,w1,C0.110,wo,11
Angle Berentsen,Algoritmen en complexiteit,p1,A1.06,wo,9
Angle Berentsen,Kansrekenen 2,h1,A1.08,do,11
Angle Berentsen,Kansrekenen 2,h2,A1.04,vr,15
Angle Berentsen,Reflectie op de digitale cultuur,h1,A1.08,di,13
Angle Berentsen,Reflectie op de digitale cultuur,h2,C0.110,di,11
Angle Berentsen,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Emil Bergmans,Algoritmen en complexiteit,h1,A1.10,vr,9
Emil Bergmans,Algoritmen en complexiteit,w1,C0.110,wo,11
Emil Bergmans,Algoritmen en complexiteit,p1,A1.06,wo,9
Emil Bergmans,Kansrekenen 2,h1,A1.08,do,11
Emil Bergmans,Kansrekenen 2,h2,A1.04,vr,15
Emil Bergmans,Netwerken en systeembeveiliging,p1,C0.110,vr,13
Emil Bergmans,Project Genetic Algorithms,p1,A1.06,ma,13
Tian Berkers,Advanced Heuristics,h1,C0.110,do,11
Tian Berkers,Advanced Heuristics,p1,C0.110,di,17
Tian Berkers,Calculus 2,h1,C0.110,do,13
Tian Berkers,Calculus 2,w1,C1.112,wo,13
Tian Berkers,Webprogrammeren en databases,h1,C0.110,di,13
Tian Berkers,Webprogrammeren en databases,h2,C1.112,vr,11
Tian Berkers,Webprogrammeren en databases,w1,C0.110,wo,15
Tian Berkers,Webprogrammeren en databases,p1,A1.10,do,9
Annique Berrevoets,Netwerken en systeembeveiliging,p1,A1.04,ma,15
Annique Berrevoets,Software engineering,h1,A1.04,ma,13
Annique Berrevoets,Software engineering,w1,B0.201,vr,13
Annique Berrevoets,Software engineering,p1,B0.201,vr,11
Theadora Besemer,Data Mining,p1,A1.10,ma,13
Theadora Besemer,Data Mining,h1,C0.110,ma,11
Theadora Besemer,Data Mining,h2,C0.110,do,9
Theadora Besemer,Data Mining,w1,A1.08,vr,13
Abdallah Beulen,Analysemethoden en -technieken,h1,A1.10,wo,15
Abdallah Beulen,Autonomous Agents 2,h1,B0.201,do,11
Abdallah Beulen,Autonomous Agents 2,h2,A1.04,di,9
Abdallah Beulen,Autonomous Agents 2,w1,C1.112,wo,15
Abdallah Beulen,Autonomous Agents 2,p1,A1.04,ma,11
Abdallah Beulen,Heuristieken 1,h1,B0.201,wo,15
Abdallah Beulen,Heuristieken 1,w1,A1.06,ma,11
Abdallah Beulen,Reflectie op de digitale cultuur,h1,A1.08,di,13
Abdallah Beulen,Reflectie op de digitale cultuur,h2,C0.110,di,11
Abdallah Beulen,Reflectie op de digitale cultuur,w1,A1.04,vr,9
Abdallah Beulen,Software engineering,h1,A1.04,ma,13
Abdallah Beulen,Software engineering,w1,A1.10,vr,15
Abdallah Beulen,Software engineering,p1,A1.04,do,11
Eltjo Beunen,Reflectie op de digitale cultuur,h1,A1.08,di,13
Eltjo Beunen,Reflectie op de digitale cultuur,h2,C0.110,di,11
Eltjo Beunen,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Eltjo Beunen,Software engineering,h1,A1.04,ma,13
Eltjo Beunen,Software engineering,w1,B0.201,vr,13
Eltjo Beunen,Software engineering,p1,A1.04,do,11
Saba Bhaggoe,Algoritmen en complexiteit,h1,A1.10,vr,9
Saba Bhaggoe,Algoritmen en complexiteit,w1,C0.110,wo,11
Saba Bhaggoe,Algoritmen en complexiteit,p1,A1.06,wo,9
Saba Bhaggoe,Kansrekenen 2,h1,A1.08,do,11
Saba Bhaggoe,Kansrekenen 2,h2,A1.04,vr,15
Saba Bhaggoe,Programmeren in Java 2,p1,A1.08,ma,13
Ella Bischoff,Collectieve Intelligentie,h1,B0.201,do,13
Ella Bischoff,Collectieve Intelligentie,h2,C1.112,do,15
Ella Bischoff,Collectieve Intelligentie,h3,C0.110,vr,11
Ella Bischoff,Collectieve Intelligentie,w1,C0.110,vr,9
Ella Bischoff,Collectieve Intelligentie,p1,C1.112,di,11
Perry Blijleven,Project Numerical Recipes,p1,A1.10,ma,15
Thyrza Blik,Lineaire Algebra,h2,C1.112,di,9
Thyrza Blik,Lineaire Algebra,h1,B0.201,do,15
Jarik Blikman,Bioinformatica,h1,C0.110,ma,9
Jarik Blikman,Bioinformatica,h2,C1.112,di,13
Jarik Blikman,Bioinformatica,h3,A1.04,wo,15
Jarik Blikman,Bioinformatica,w1,A1.04,do,13
Jarik Blikman,Bioinformatica,p1,C0.110,vr,17
Jarik Blikman,Data Mining,p1,C1.112,wo,9
Jarik Blikman,Data Mining,h1,C0.110,ma,11
Jarik Blikman,Data Mining,h2,C0.110,do,9
Jarik Blikman,Data Mining,w1,A1.08,di,9
Jarik Blikman,Heuristieken 2,h1,A1.04,wo,11
Jarik Blikman,Heuristieken 2,w1,B0.201,do,9
Jarik Blikman,Interactie-ontwerp,h1,A1.04,di,13
Jarik Blikman,Interactie-ontwerp,h2,A1.10,ma,11
Jarik Blikman,Netwerken en systeembeveiliging,p1,B0.201,wo,11
Monika Blikman,Analysemethoden en -technieken,h1,A1.10,wo,15
Monika Blikman,Informatie- en organisatieontwerp,h2,A1.06,do,13
Monika Blikman,Informatie- en organisatieontwerp,w1,C0.110,di,15
Monika Blikman,Informatie- en organisatieontwerp,p1,A1.08,vr,11
Monika Blikman,Informatie- en organisatieontwerp,h1,A1.10,di,13
Monika Blikman,Kansrekenen 2,h1,A1.08,do,11
Monika Blikman,Kansrekenen 2,h2,A1.04,vr,15
Monika Blikman,Netwerken en systeembeveiliging,p1,A1.04,vr,13
Marco Bloemert,Collectieve Intelligentie,h1,B0.201,do,13
Marco Bloemert,Collectieve Intelligentie,h2,C1.112,do,15
Marco Bloemert,Collectieve Intelligentie,h3,C0.110,vr,11
Marco Bloemert,Collectieve Intelligentie,w1,A1.06,di,9
Marco Bloemert,Collectieve Intelligentie,p1,C0.110,wo,17
Anjana Bloemsma,Compilerbouw practicum,p1,C1.112,vr,15
Guilliano Blomsma,Project Genetic Algorithms,p1,A1.06,do,15
Guilliano Blomsma,Webprogrammeren en databases,h1,C0.110,di,13
Guilliano Blomsma,Webprogrammeren en databases,h2,C1.112,vr,11
Guilliano Blomsma,Webprogrammeren en databases,w1,C0.110,wo,15
Guilliano Blomsma,Webprogrammeren en databases,p1,A1.06,vr,9
Lenne Boateng,Compilerbouw,h1,A1.06,wo,13
Lenne Boateng,Compilerbouw,h2,A1.08,wo,11
Lenne Boateng,Compilerbouw,w1,B0.201,di,13
Lenne Boateng,Compilerbouw,p1,C0.110,ma,17
Lenne Boateng,Machine Learning,h1,A1.08,di,11
Lenne Boateng,Machine Learning,h2,C1.112,do,11
Amadou Boekema,Compilerbouw,h1,A1.06,wo,13
Amadou Boekema,Compilerbouw,h2,A1.08,wo,11
Amadou Boekema,Compilerbouw,w1,A1.06,di,15
Amadou Boekema,Compilerbouw,p1,A1.06,vr,13
Amadou Boekema,Interactie-ontwerp,h1,A1.04,di,13
Amadou Boekema,Interactie-ontwerp,h2,A1.10,ma,11
Amadou Boekema,Kansrekenen 2,h1,A1.08,do,11
Amadou Boekema,Kansrekenen 2,h2,A1.04,vr,15
Armin Bol,Analysemethoden en -technieken,h1,A1.10,wo,15
Armin Bol,Project Genetic Algorithms,p1,C1.112,ma,11
Rayn Bolding,Moderne Databases,h1,A1.10,vr,13
Rayn Bolding,Moderne Databases,w1,A1.08,di,15
Rayn Bolding,Moderne Databases,p1,A1.04,vr,11
Jeremey Bontenbal,Kansrekenen 2,h1,A1.08,do,11
Jeremey Bontenbal,Kansrekenen 2,h2,A1.04,vr,15
Jeremey Bontenbal,Reflectie op de digitale cultuur,h1,A1.08,di,13
Jeremey Bontenbal,Reflectie op de digitale cultuur,h2,C0.110,di,11
Jeremey Bontenbal,Reflectie op de digitale cultuur,w1,A1.10,do,13
Tariq Bood,Programmeren in Java 2,p1,A1.10,ma,9
Hiba Boogert,Calculus 2,h1,C0.110,do,13
Hiba Boogert,Calculus 2,w1,C0.110,ma,13
Hiba Boogert,Netwerken en systeembeveiliging,p1,C0.110,vr,13
Kely Borg,Programmeren in Java 2,p1,A1.10,do,15
Ken Borsboom,Reflectie op de digitale cultuur,h1,A1.08,di,13
Ken Borsboom,Reflectie op de digitale cultuur,h2,C0.110,di,11
Ken Borsboom,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Narin Boshuis,Algoritmen en complexiteit,h1,A1.10,vr,9
Narin Boshuis,Algoritmen en complexiteit,w1,C0.110,wo,11
Narin Boshuis,Algoritmen en complexiteit,p1,A1.08,do,13
Rudolph Bosman,Calculus 2,h1,C0.110,do,13
Rudolph Bosman,Calculus 2,w1,C0.110,ma,13
Jael Boutkan,Calculus 2,h1,C0.110,do,13
Jael Boutkan,Calculus 2,w1,C1.112,wo,13
Jael Boutkan,Zoeken sturen en bewegen,p1,C1.112,ma,13
Resi Braamhaar,Zoeken sturen en bewegen,p1,C1.112,wo,11
Hanne Brans,Analysemethoden en -technieken,h1,A1.10,wo,15
Hanne Brans,Reflectie op de digitale cultuur,h1,A1.08,di,13
Hanne Brans,Reflectie op de digitale cultuur,h2,C0.110,di,11
Hanne Brans,Reflectie op de digitale cultuur,w1,A1.04,vr,9
Hanne Brans,Technology for games,h1,A1.06,ma,9
Hanne Brans,Technology for games,h2,A1.04,di,11
Hanne Brans,Technology for games,w1,A1.10,wo,13
Cyrina Brasser,Analysemethoden en -technieken,h1,A1.10,wo,15
Cyrina Brasser,Bioinformatica,h1,C0.110,ma,9
Cyrina Brasser,Bioinformatica,h2,C1.112,di,13
Cyrina Brasser,Bioinformatica,h3,A1.04,wo,15
Cyrina Brasser,Bioinformatica,w1,A1.04,do,13
Cyrina Brasser,Bioinformatica,p1,C0.110,vr,17
Cyrina Brasser,Project Numerical Recipes,p1,C0.110,do,15
Femia Brink,Architectuur en computerorganisatie,h1,A1.06,wo,15
Femia Brink,Architectuur en computerorganisatie,h2,A1.06,do,9
Femia Brink,Collectieve Intelligentie,h1,B0.201,do,13
Femia Brink,Collectieve Intelligentie,h2,C1.112,do,15
Femia Brink,Collectieve Intelligentie,h3,C0.110,vr,11
Femia Brink,Collectieve Intelligentie,w1,A1.06,di,9
Femia Brink,Collectieve Intelligentie,p1,C0.110,wo,17
Renze Brink,Calculus 2,h1,C0.110,do,13
Renze Brink,Calculus 2,w1,C0.110,vr,15
Renze Brink,Kansrekenen 2,h1,A1.08,do,11
Renze Brink,Kansrekenen 2,h2,A1.04,vr,15
Renze Brink,Webprogrammeren en databases,h1,C0.110,di,13
Renze Brink,Webprogrammeren en databases,h2,C1.112,vr,11
Renze Brink,Webprogrammeren en databases,w1,B0.201,ma,11
Renze Brink,Webprogrammeren en databases,p1,A1.10,do,9
Nyncke Brinks,Kansrekenen 2,h1,A1.08,do,11
Nyncke Brinks,Kansrekenen 2,h2,A1.04,vr,15
Wulfert Brinksma,Reflectie op de digitale cultuur,h1,A1.08,di,13
Wulfert Brinksma,Reflectie op de digitale cultuur,h2,C0.110,di,11
Wulfert Brinksma,Reflectie op de digitale cultuur,w1,A1.04,vr,9
Ilyass Broeks,Analysemethoden en -technieken,h1,A1.10,wo,15
Ilyass Broeks,Bioinformatica,h1,C0.110,ma,9
Ilyass Broeks,Bioinformatica,h2,C1.112,di,13
Ilyass Broeks,Bioinformatica,h3,A1.04,wo,15
Ilyass Broeks,Bioinformatica,w1,A1.04,do,13
Ilyass Broeks,Bioinformatica,p1,B0.201,di,11
Ilyass Broeks,Zoeken sturen en bewegen,p1,B0.201,di,15
Ethan Broer,Algoritmen en complexiteit,h1,A1.10,vr,9
Ethan Broer,Algoritmen en complexiteit,w1,C1.112,do,9
Ethan Broer,Algoritmen en complexiteit,p1,A1.06,wo,9
Ethan Broer,Kansrekenen 2,h1,A1.08,do,11
Ethan Broer,Kansrekenen 2,h2,A1.04,vr,15
Ethan Broer,Software engineering,h1,A1.04,ma,13
Ethan Broer,Software engineering,w1,B0.201,vr,13
Ethan Broer,Software engineering,p1,B0.201,vr,11
Tarah Broerse,Autonomous Agents 2,h1,B0.201,do,11
Tarah Broerse,Autonomous Agents 2,h2,A1.04,di,9
Tarah Broerse,Autonomous Agents 2,w1,A1.08,wo,9
Tarah Broerse,Autonomous Agents 2,p1,C1.112,do,13
Tarah Broerse,Lineaire Algebra,h2,C1.112,di,9
Tarah Broerse,Lineaire Algebra,h1,B0.201,do,15
Devlin Bronsema,Databases 2,h1,C0.110,ma,15
Devlin Bronsema,Databases 2,w1,A1.10,di,15
Devlin Bronsema,Informatie- en organisatieontwerp,h2,A1.06,do,13
Devlin Bronsema,Informatie- en organisatieontwerp,w1,C0.110,di,15
Devlin Bronsema,Informatie- en organisatieontwerp,p1,B0.201,ma,13
Devlin Bronsema,Informatie- en organisatieontwerp,h1,A1.10,di,13
Devlin Bronsema,Programmeren in Java 2,p1,A1.06,vr,11
Sayfeddine Bruijnes,Data Mining,p1,A1.10,ma,13
Sayfeddine Bruijnes,Data Mining,h1,C0.110,ma,11
Sayfeddine Bruijnes,Data Mining,h2,C0.110,do,9
Sayfeddine Bruijnes,Data Mining,w1,A1.08,di,9
Sayfeddine Bruijnes,Kansrekenen 2,h1,A1.08,do,11
Sayfeddine Bruijnes,Kansrekenen 2,h2,A1.04,vr,15
Sayfeddine Bruijnes,Lineaire Algebra,h2,C1.112,di,9
Sayfeddine Bruijnes,Lineaire Algebra,h1,B0.201,do,15
Sayfeddine Bruijnes,Programmeren in Java 2,p1,A1.06,vr,11
Virginie Brunsveld,Autonomous Agents 2,h1,B0.201,do,11
Virginie Brunsveld,Autonomous Agents 2,h2,A1.04,di,9
Virginie Brunsveld,Autonomous Agents 2,w1,C1.112,wo,15
Virginie Brunsveld,Autonomous Agents 2,p1,C1.112,do,13
Virginie Brunsveld,Collectieve Intelligentie,h1,B0.201,do,13
Virginie Brunsveld,Collectieve Intelligentie,h2,C1.112,do,15
Virginie Brunsveld,Collectieve Intelligentie,h3,C0.110,vr,11
Virginie Brunsveld,Collectieve Intelligentie,w1,A1.06,di,13
Virginie Brunsveld,Collectieve Intelligentie,p1,A1.08,do,15
Virginie Brunsveld,Databases 2,h1,C0.110,ma,15
Virginie Brunsveld,Databases 2,w1,A1.10,di,11
Virginie Brunsveld,Lineaire Algebra,h2,C1.112,di,9
Virginie Brunsveld,Lineaire Algebra,h1,B0.201,do,15
Virginie Brunsveld,Moderne Databases,h1,A1.10,vr,13
Virginie Brunsveld,Moderne Databases,w1,A1.08,di,15
Virginie Brunsveld,Moderne Databases,p1,A1.04,vr,11
Angus Brusse,Databases 2,h1,C0.110,ma,15
Angus Brusse,Databases 2,w1,A1.10,di,15
Angus Brusse,Netwerken en systeembeveiliging,p1,A1.04,vr,13
Allan Budel,Calculus 2,h1,C0.110,do,13
Allan Budel,Calculus 2,w1,C0.110,vr,15
Allan Budel,Heuristieken 2,h1,A1.04,wo,11
Allan Budel,Heuristieken 2,w1,B0.201,do,9
Allan Budel,Project Genetic Algorithms,p1,A1.06,ma,13
Wytske Buining,Algoritmen en complexiteit,h1,A1.10,vr,9
Wytske Buining,Algoritmen en complexiteit,w1,C0.110,wo,11
Wytske Buining,Algoritmen en complexiteit,p1,A1.06,wo,9
Wytske Buining,Compilerbouw,h1,A1.06,wo,13
Wytske Buining,Compilerbouw,h2,A1.08,wo,11
Wytske Buining,Compilerbouw,w1,B0.201,di,13
Wytske Buining,Compilerbouw,p1,C0.110,ma,17
Wytske Buining,Databases 2,h1,C0.110,ma,15
Wytske Buining,Databases 2,w1,A1.10,di,15
Wytske Buining,Programmeren in Java 2,p1,A1.10,ma,9
Wytske Buining,Reflectie op de digitale cultuur,h1,A1.08,di,13
Wytske Buining,Reflectie op de digitale cultuur,h2,C0.110,di,11
Wytske Buining,Reflectie op de digitale cultuur,w1,A1.10,do,13
Rika Buizer,Informatie- en organisatieontwerp,h2,A1.06,do,13
Rika Buizer,Informatie- en organisatieontwerp,w1,C0.110,di,15
Rika Buizer,Informatie- en organisatieontwerp,p1,A1.08,vr,11
Rika Buizer,Informatie- en organisatieontwerp,h1,A1.10,di,13
Rika Buizer,Kansrekenen 2,h1,A1.08,do,11
Rika Buizer,Kansrekenen 2,h2,A1.04,vr,15
Rika Buizer,Technology for games,h1,A1.06,ma,9
Rika Buizer,Technology for games,h2,A1.04,di,11
Rika Buizer,Technology for games,w1,A1.08,ma,11
Vivianne Buter,Advanced Heuristics,h1,C0.110,do,11
Vivianne Buter,Advanced Heuristics,p1,C0.110,di,17
Vivianne Buter,Calculus 2,h1,C0.110,do,13
Vivianne Buter,Calculus 2,w1,C0.110,vr,15
Vivianne Buter,Heuristieken 1,h1,B0.201,wo,15
Vivianne Buter,Heuristieken 1,w1,A1.06,ma,11
Vivianne Buter,Programmeren in Java 2,p1,A1.08,ma,13
Vivianne Buter,Project Numerical Recipes,p1,A1.10,ma,15
Abdel Buth,Architectuur en computerorganisatie,h1,A1.06,wo,15
Abdel Buth,Architectuur en computerorganisatie,h2,A1.06,do,9
Abdel Buth,Informatie- en organisatieontwerp,h2,A1.06,do,13
Abdel Buth,Informatie- en organisatieontwerp,w1,C0.110,di,15
Abdel Buth,Informatie- en organisatieontwerp,p1,A1.08,vr,11
Abdel Buth,Informatie- en organisatieontwerp,h1,A1.10,di,13
Donna Buurma,Kansrekenen 2,h1,A1.08,do,11
Donna Buurma,Kansrekenen 2,h2,A1.04,vr,15
Donna Buurma,Reflectie op de digitale cultuur,h1,A1.08,di,13
Donna Buurma,Reflectie op de digitale cultuur,h2,C0.110,di,11
Donna Buurma,Reflectie op de digitale cultuur,w1,A1.10,do,13
Lucienne Caris,Algoritmen en complexiteit,h1,A1.10,vr,9
Lucienne Caris,Algoritmen en complexiteit,w1,C1.112,do,9
Lucienne Caris,Algoritmen en complexiteit,p1,A1.06,wo,9
Lucienne Caris,Compilerbouw,h1,A1.06,wo,13
Lucienne Caris,Compilerbouw,h2,A1.08,wo,11
Lucienne Caris,Compilerbouw,w1,A1.06,di,15
Lucienne Caris,Compilerbouw,p1,A1.06,vr,13
Lucienne Caris,Technology for games,h1,A1.06,ma,9
Lucienne Caris,Technology for games,h2,A1.04,di,11
Lucienne Caris,Technology for games,w1,A1.10,wo,13
Samyra Çetin,Bioinformatica,h1,C0.110,ma,9
Samyra Çetin,Bioinformatica,h2,C1.112,di,13
Samyra Çetin,Bioinformatica,h3,A1.04,wo,15
Samyra Çetin,Bioinformatica,w1,A1.04,do,13
Samyra Çetin,Bioinformatica,p1,C0.110,vr,17
Samyra Çetin,Programmeren in Java 2,p1,B0.201,ma,9
Samyra Çetin,Reflectie op de digitale cultuur,h1,A1.08,di,13
Samyra Çetin,Reflectie op de digitale cultuur,h2,C0.110,di,11
Samyra Çetin,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Liana Charita,Analysemethoden en -technieken,h1,A1.10,wo,15
Liana Charita,Programmeren in Java 2,p1,A1.10,do,15
Liana Charita,Reflectie op de digitale cultuur,h1,A1.08,di,13
Liana Charita,Reflectie op de digitale cultuur,h2,C0.110,di,11
